  -20.00000000  2271.47100000
  -19.00000000  2491.49100000
  -18.00000000  2616.61700000
  -17.00000000  3055.05500000
  -16.00000000  3513.51300000
  -15.00000000  4126.12600000
  -14.00000000  4974.97500000
  -13.00000000  5906.90700000
  -12.00000000  7280.28000000
  -11.00000000  9265.26500000
  -10.00000000 11957.95800000
   -9.00000000 15066.06500000
   -8.00000000 18912.91100000
   -7.00000000 23198.19700000
   -6.00000000 28318.31600000
   -5.00000000 34994.99300000
   -4.00000000 42797.79600000
   -3.00000000 51326.32200000
   -2.00000000 60817.81500000
   -1.00000000 66684.68200000
    0.00000000 66262.25700000
    1.00000000 60034.03200000
    2.00000000 50007.00500000
    3.00000000 40207.20500000
    4.00000000 32166.16300000
    5.00000000 26476.47500000
    6.00000000 21449.44900000
    7.00000000 17487.48700000
    8.00000000 14162.16100000
    9.00000000 11309.30800000
   10.00000000  9360.36000000
   11.00000000  7266.26600000
   12.00000000  5743.74400000
   13.00000000  4609.60900000
   14.00000000  3575.57500000
   15.00000000  2807.80800000
   16.00000000  2398.39800000
   17.00000000  2077.07700000
   18.00000000  1815.81600000
   19.00000000  1569.57000000
   20.00000000  1404.30400000
