  -20.00000000   885.88600000
  -19.50000000   914.91500000
  -19.00000000   971.97200000
  -18.50000000  1068.06800000
  -18.00000000  1058.05800000
  -17.50000000  1090.09000000
  -17.00000000  1180.18000000
  -16.50000000  1248.24800000
  -16.00000000  1323.32300000
  -15.50000000  1432.43200000
  -15.00000000  1432.43200000
  -14.50000000  1649.65000000
  -14.00000000  1732.73300000
  -13.50000000  1903.90400000
  -13.00000000  2009.00900000
  -12.50000000  2106.10600000
  -12.00000000  2191.19100000
  -11.50000000  2472.47200000
  -11.00000000  2716.71700000
  -10.50000000  2940.94100000
  -10.00000000  3278.27800000
   -9.50000000  3626.62700000
   -9.00000000  3925.92600000
   -8.50000000  4331.33100000
   -8.00000000  4857.85700000
   -7.50000000  5539.53900000
   -7.00000000  6452.45200000
   -6.50000000  7177.17700000
   -6.00000000  8413.41300000
   -5.50000000  9709.71000000
   -5.00000000 11564.56400000
   -4.50000000 13883.88300000
   -4.00000000 17700.70000000
   -3.50000000 22610.61000000
   -3.00000000 30443.44200000
   -2.50000000 47039.03700000
   -2.00000000 70957.95100000
   -1.50000000 90688.68600000
   -1.00000000 108415.40800000
   -0.50000000 117886.88100000
    0.00000000 109015.00900000
    0.50000000 92826.82400000
    1.00000000 72321.31600000
    1.50000000 48910.90900000
    2.00000000 30221.22000000
    2.50000000 21543.54200000
    3.00000000 16309.30800000
    3.50000000 12927.92700000
    4.00000000 10869.87000000
    4.50000000  8925.92600000
    5.00000000  7581.58100000
    5.50000000  6486.48600000
    6.00000000  5665.66500000
    6.50000000  4973.97400000
    7.00000000  4307.30700000
    7.50000000  3869.87000000
    8.00000000  3352.35200000
    8.50000000  2872.87300000
    9.00000000  2632.63300000
    9.50000000  2378.37800000
   10.00000000  2251.25100000
   10.50000000  1978.97900000
   11.00000000  1781.78200000
   11.50000000  1587.58800000
   12.00000000  1487.48700000
   12.50000000  1365.36500000
   13.00000000  1240.24000000
   13.50000000  1162.16200000
   14.00000000  1051.05100000
   14.50000000  1024.02400000
   15.00000000   936.93700000
   15.50000000   908.90900000
   16.00000000   828.82900000
   16.50000000   763.76400000
   17.00000000   739.74000000
   17.50000000   686.68700000
   18.00000000   617.61800000
   18.50000000   650.65100000
   19.00000000   568.56900000
   19.50000000   523.52300000
   20.00000000   483.48300000
