  -20.00000000  1365.36500000
  -19.50000000  1464.46400000
  -19.00000000  1487.48700000
  -18.50000000  1501.50100000
  -18.00000000  1557.55800000
  -17.50000000  1662.66300000
  -17.00000000  1826.82700000
  -16.50000000  1898.89900000
  -16.00000000  1958.95900000
  -15.50000000  2039.03900000
  -15.00000000  2106.10600000
  -14.50000000  2300.30000000
  -14.00000000  2303.30300000
  -13.50000000  2423.42300000
  -13.00000000  2669.67000000
  -12.50000000  2717.71800000
  -12.00000000  2862.86300000
  -11.50000000  3130.13000000
  -11.00000000  3260.26000000
  -10.50000000  3408.40800000
  -10.00000000  3460.46000000
   -9.50000000  3815.81600000
   -9.00000000  3955.95600000
   -8.50000000  4271.27100000
   -8.00000000  4490.49000000
   -7.50000000  4799.80000000
   -7.00000000  5030.03000000
   -6.50000000  5392.39200000
   -6.00000000  5619.62000000
   -5.50000000  5745.74500000
   -5.00000000  6379.37900000
   -4.50000000  6520.52000000
   -4.00000000  6905.90500000
   -3.50000000  7315.31500000
   -3.00000000  7645.64500000
   -2.50000000  8067.06700000
   -2.00000000  8286.28600000
   -1.50000000  8435.43500000
   -1.00000000  8793.79300000
   -0.50000000  8754.75500000
    0.00000000  8966.96600000
    0.50000000  8988.98800000
    1.00000000  9075.07500000
    1.50000000  9009.00900000
    2.00000000  8791.79100000
    2.50000000  8771.77100000
    3.00000000  8675.67500000
    3.50000000  8418.41800000
    4.00000000  8373.37300000
    4.50000000  7935.93600000
    5.00000000  7622.62200000
    5.50000000  7391.39100000
    6.00000000  7159.15900000
    6.50000000  6740.74000000
    7.00000000  6543.54300000
    7.50000000  6039.03900000
    8.00000000  5785.78500000
    8.50000000  5632.63200000
    9.00000000  5323.32300000
    9.50000000  4934.93500000
   10.00000000  4557.55700000
   10.50000000  4469.46900000
   11.00000000  4192.19200000
   11.50000000  3859.86000000
   12.00000000  3727.72700000
   12.50000000  3517.51700000
   13.00000000  3240.24000000
   13.50000000  3156.15600000
   14.00000000  2939.94000000
   14.50000000  2674.67500000
   15.00000000  2520.52000000
   15.50000000  2422.42200000
   16.00000000  2246.24600000
   16.50000000  2036.03600000
   17.00000000  2006.00600000
   17.50000000  1835.83600000
   18.00000000  1723.72400000
   18.50000000  1634.63500000
   19.00000000  1494.49400000
   19.50000000  1449.44900000
   20.00000000  1346.34600000
