  -20.00000000  1638.63900000
  -19.50000000  1614.61500000
  -19.00000000  1838.83900000
  -18.50000000  1811.81200000
  -18.00000000  2026.02600000
  -17.50000000  2134.13400000
  -17.00000000  2280.28000000
  -16.50000000  2404.40400000
  -16.00000000  2502.50200000
  -15.50000000  2604.60500000
  -15.00000000  2828.82900000
  -14.50000000  2872.87300000
  -14.00000000  3095.09500000
  -13.50000000  3303.30300000
  -13.00000000  3394.39400000
  -12.50000000  3516.51600000
  -12.00000000  3752.75300000
  -11.50000000  3969.97000000
  -11.00000000  4315.31500000
  -10.50000000  4493.49300000
  -10.00000000  4900.90100000
   -9.50000000  4998.99900000
   -9.00000000  5249.24900000
   -8.50000000  5645.64500000
   -8.00000000  6064.06400000
   -7.50000000  6238.23800000
   -7.00000000  6648.64800000
   -6.50000000  7062.06200000
   -6.00000000  7491.49100000
   -5.50000000  7729.72900000
   -5.00000000  8138.13700000
   -4.50000000  8853.85400000
   -4.00000000  9289.28900000
   -3.50000000  9764.76400000
   -3.00000000 10301.30100000
   -2.50000000 10616.61600000
   -2.00000000 11159.15800000
   -1.50000000 11676.67600000
   -1.00000000 12073.07300000
   -0.50000000 12261.26000000
    0.00000000 12417.41700000
    0.50000000 12801.80100000
    1.00000000 12890.89000000
    1.50000000 12902.90200000
    2.00000000 12811.81100000
    2.50000000 12744.74400000
    3.00000000 12419.41900000
    3.50000000 12081.08100000
    4.00000000 12074.07300000
    4.50000000 11546.54600000
    5.00000000 11156.15600000
    5.50000000 10638.63800000
    6.00000000 10003.00300000
    6.50000000  9654.65400000
    7.00000000  9243.24300000
    7.50000000  8786.78700000
    8.00000000  8195.19500000
    8.50000000  7633.63300000
    9.00000000  7427.42700000
    9.50000000  7005.00500000
   10.00000000  6538.53800000
   10.50000000  6096.09600000
   11.00000000  5955.95600000
   11.50000000  5383.38300000
   12.00000000  5024.02400000
   12.50000000  4869.86900000
   13.00000000  4528.52800000
   13.50000000  4171.17100000
   14.00000000  3880.88100000
   14.50000000  3773.77300000
   15.00000000  3420.42000000
   15.50000000  3235.23500000
   16.00000000  3107.10700000
   16.50000000  2860.86100000
   17.00000000  2751.75200000
   17.50000000  2552.55200000
   18.00000000  2367.36700000
   18.50000000  2240.24000000
   19.00000000  2104.10400000
   19.50000000  1970.97100000
   20.00000000  1953.95400000
