19667.00000000   -25.36000000    16.91000000 1136155.78000000   350.00000000
19522.00000000   -25.06000000    17.02000000 1150821.05000000   349.00000000
19359.00000000   -25.45000000    17.39000000 1191834.80000000   348.00000000
19244.00000000   -21.36000000    15.89000000 1074762.59000000   347.00000000
19130.00000000   -13.55000000    20.36000000 1487112.83000000   346.00000000
18968.00000000   -12.41000000    20.08000000 1478625.94000000   345.00000000
18722.00000000   -12.13000000    19.90000000 1454649.47000000   344.00000000
18553.00000000   -10.56000000    20.19000000 1472669.59000000   343.00000000
18377.00000000    -8.60000000    20.25000000 1488137.18000000   342.00000000
18281.00000000   -11.65000000    22.85000000 1659470.46000000   341.00000000
18123.00000000   -18.93000000    15.95000000 1106077.27000000   340.00000000
17892.00000000   -18.34000000    16.10000000 1124749.09000000   339.00000000
17782.00000000   -17.40000000    16.70000000 1172458.36000000   337.00000000
17285.00000000   -15.65000000    16.36000000 1180790.52000000   329.00000000
17158.00000000    -8.65000000    15.84000000 1161551.03000000   328.00000000
17062.00000000    -1.27000000    23.88000000 1847211.34000000   327.00000000
16871.00000000    -1.32000000    24.28000000 1873249.42000000   326.00000000
16555.00000000    -4.59000000    24.07000000 1848832.28000000   325.00000000
16391.00000000    -4.14000000    23.83000000 1811026.42000000   324.00000000
16198.00000000    -3.75000000    22.55000000 1726685.91000000   323.00000000
16087.00000000    -8.30000000    24.59000000 1864344.19000000   322.00000000
15998.00000000   -10.68000000    14.73000000 936022.18000000   321.00000000
15731.00000000   -10.53000000    14.58000000 922790.95000000   320.00000000
15655.00000000   -10.62000000    14.65000000 924306.92000000   319.00000000
14841.00000000    -6.47000000    15.07000000 946338.84000000   318.00000000
14507.00000000    -8.87000000    14.79000000 936348.42000000   317.00000000
14268.00000000   -12.90000000    14.69000000 928165.09000000   316.00000000
14113.00000000   -17.91000000    14.30000000 899910.57000000   315.00000000
13950.00000000   -16.41000000    13.99000000 886021.70000000   314.00000000
13301.00000000   -13.72000000    14.24000000 900391.54000000   313.00000000
13085.00000000    -8.54000000    15.01000000 953413.47000000   312.00000000
12980.00000000    -9.80000000    14.76000000 924469.36000000   311.00000000
12733.00000000   -11.48000000    14.55000000 923887.30000000   310.00000000
12559.00000000   -14.13000000    14.66000000 928818.86000000   309.00000000
12392.00000000   -16.68000000    14.42000000 913064.85000000   308.00000000
12242.00000000   -19.40000000    13.90000000 861245.55000000   307.00000000
12091.00000000   -19.51000000    13.28000000 827018.23000000   306.00000000
11901.00000000   -18.84000000    13.66000000 850507.43000000   305.00000000
