 7148.00000000   -10.33000000    19.09000000 1433842.33000000   410.00000000     0.00000000
 6846.00000000   -10.55000000    19.49000000 1513332.66000000   409.00000000     0.00000000
 6633.00000000   -10.80000000    19.25000000 1497062.22000000   408.00000000     0.00000000
 6399.00000000   -10.86000000    19.49000000 1528895.65000000   407.00000000     0.00000000
 6265.00000000   -12.07000000    19.57000000 1548958.85000000   406.00000000     0.00000000
 6146.00000000   -13.90000000    19.82000000 1585599.95000000   405.00000000     0.00000000
 6028.00000000   -13.84000000    17.11000000 1368026.85000000   404.00000000    25.10000000
 5950.00000000    -5.31000000    24.22000000 2008376.54000000   403.00000000    25.30000000
 5819.00000000    -6.14000000    23.30000000 1941009.83000000   402.00000000    25.20000000
 5686.00000000    -5.74000000    23.00000000 1920804.03000000   401.00000000    24.90000000
 5586.00000000    -6.49000000    24.11000000 2003623.26000000   400.00000000    24.70000000
 5495.00000000    -7.24000000    23.71000000 1954206.68000000   399.00000000     0.00000000
 5244.00000000    -7.05000000    23.10000000 1894236.20000000   398.00000000     0.00000000
 5136.00000000    -6.75000000    21.23000000 1723732.16000000   397.00000000     0.00000000
 5008.00000000    -3.45000000    21.69000000 1767342.79000000   396.00000000    25.30000000
 4926.00000000    -5.39000000    23.92000000 1932060.28000000   395.00000000    25.10000000
 4840.00000000    -8.92000000    14.94000000 1048762.03000000   394.00000000    25.00000000
 4552.00000000    -8.15000000    14.83000000 1046685.81000000   393.00000000    25.00000000
 4369.00000000    -7.90000000    15.02000000 1057513.03000000   392.00000000    25.10000000
 4222.00000000    -7.34000000    15.27000000 1079664.35000000   391.00000000    25.00000000
 4100.00000000    -7.06000000    15.48000000 1092296.54000000   390.00000000    24.85000000
 3925.00000000    -5.97000000    15.66000000 1106920.84000000   389.00000000    25.10000000
 3798.00000000    -4.20000000    15.68000000 1113217.36000000   388.00000000    25.00000000
 3725.00000000    -0.96000000    15.56000000 1100968.04000000   387.00000000    25.30000000
 3654.00000000     1.08000000    19.68000000 1512333.26000000   386.00000000    25.50000000
 3491.00000000     0.65000000    19.83000000 1515007.29000000   385.00000000    25.30000000
 3325.00000000     0.54000000    19.47000000 1493489.91000000   382.00000000    25.30000000
 3158.00000000     0.61000000    18.92000000 1448580.31000000   380.00000000    25.30000000
 3053.00000000     0.49000000    18.18000000 1388563.99000000   378.00000000    25.20000000
 2949.00000000    -2.08000000    14.98000000 1062578.83000000   374.00000000    24.90000000
 2840.00000000    -1.75000000    14.47000000 1020220.46000000   372.00000000    24.70000000
 2733.00000000    -1.53000000    14.60000000 1030267.80000000   370.00000000    24.62000000
 2661.00000000    -1.29000000    14.62000000 1023352.36000000   369.00000000    24.65000000
 2595.00000000    -1.20000000    15.03000000 1076391.53000000   368.00000000    24.70000000
 2455.00000000   -17.43000000    25.00000000     8.25000000   367.00000000    24.60000000
 2175.00000000     6.11000000    14.77000000 1022076.86000000   366.00000000    24.65000000
 1940.00000000     6.45000000    15.06000000 1046604.49000000   365.00000000    24.70000000
 1683.00000000     7.30000000    14.95000000 1038685.75000000   364.00000000    25.10000000
  845.00000000     2.96000000    14.77000000 1023293.47000000   363.00000000    24.78000000
  742.00000000     2.26000000    14.85000000 1031429.53000000   362.00000000    24.70000000
  625.00000000     0.92000000    14.86000000 1032547.89000000   361.00000000    24.50000000
  435.00000000     0.18000000    14.73000000 1017664.06000000   360.00000000    24.60000000
  351.00000000     0.08000000    14.70000000 1019720.23000000   359.00000000    24.50000000
  252.00000000    -0.50000000    14.38000000 997840.75000000   358.00000000    24.60000000
  131.00000000    -1.15000000    15.20000000 1049049.47000000   357.00000000    24.50000000
    0.00000000    -1.99000000    15.21000000 1039132.11000000   356.00000000    24.50000000
