    0.00000000    -1.33000000    15.74000000 1020591.36000000
   67.00000000    -0.52000000    15.79000000 1024841.84000000
  155.00000000    -0.01000000    15.69000000 1013936.69000000
  256.00000000     0.78000000    15.77000000 1026287.43000000
  361.00000000     3.72000000    19.31000000 1384439.56000000
  456.00000000     7.16000000    19.86000000 1448950.86000000
  580.00000000     6.35000000    20.26000000 1502615.44000000
  667.00000000     5.67000000    20.80000000 1545206.55000000
  740.00000000     5.08000000    21.06000000 1555051.24000000
  834.00000000     4.70000000    21.17000000 1559949.78000000
  938.00000000     4.81000000    21.04000000 1560819.20000000
 1058.00000000     4.97000000    21.23000000 1558496.24000000
 1162.00000000     5.17000000    21.39000000 1569403.14000000
 1269.00000000     5.23000000    21.43000000 1572675.73000000
 1375.00000000     3.23000000    16.24000000 1081798.70000000
 1460.00000000    -1.41000000    15.94000000 1057646.48000000
 1547.00000000    -3.04000000    15.77000000 1042660.41000000
 1643.00000000    -3.44000000    16.01000000 1051264.75000000
 1721.00000000    -3.28000000    15.96000000 1041206.11000000
 1808.00000000    -3.25000000    15.97000000 1043015.42000000
 1932.00000000    -2.90000000    15.90000000 1033489.25000000
 2046.00000000    -2.50000000    15.57000000 1015738.76000000
 2149.00000000    -2.12000000    15.54000000 1005627.26000000
 2290.00000000    -1.87000000    15.65000000 1013720.92000000
 2606.00000000    -1.78000000    15.71000000 1014678.93000000
 2680.00000000    -0.77000000    15.62000000 1007719.65000000
 2826.00000000    -0.27000000    15.62000000 1004457.63000000
 3087.00000000     1.10000000    15.62000000 1003676.59000000
 3435.00000000     2.19000000    15.47000000 993072.71000000
 3746.00000000     2.87000000    15.60000000 998536.43000000
 3980.00000000     2.97000000    15.38000000 983724.82000000
 4949.00000000     4.06000000    15.41000000 991803.65000000
 5127.00000000     3.76000000    15.50000000 988871.98000000
